i,j,Lookup,AccountID,Month,AssetClass,Stage Mapper,Stage,Exposure,ECL,PD,LGD
1585,160,16,MB160,201812,MRTG,0.3770367088,Stage 1,1128385,104879,0.188,0.49
1586,161,16,MB161,201812,MRTG,0.122910741,Stage 1,1376178,22497,0.178,0.09
1587,162,16,MB162,201812,MRTG,0.4022987547,Stage 1,572676,9928,0.094,0.18
1588,163,16,MB163,201812,MRTG,0.2378935614,Stage 1,1385337,2879,0.018,0.12
1589,164,16,MB164,201812,MRTG,0.6289144969,Stage 1,1002347,29552,0.090,0.33
1590,165,16,MB165,201812,MRTG,0.8877107767,Stage 2,1368766,83467,0.273,0.22
1591,166,16,MB166,201812,MRTG,0.2530408861,Stage 1,1155432,74501,0.182,0.35
1592,167,16,MB167,201812,MRTG,0.9872185607,Stage 3,1145458,145764,1.000,0.13
1593,168,16,MB168,201812,MRTG,0.6469346004,Stage 1,1477961,11518,0.031,0.25
1594,169,16,MB169,201812,MRTG,0.2407965399,Stage 1,1007089,18795,0.085,0.22
1595,170,16,MB170,201812,MRTG,0.4955596129,Stage 1,812561,25813,0.064,0.50
1596,171,16,MB171,201812,MRTG,0.09803499855,Stage 1,1383071,21456,0.041,0.38
1597,172,16,MB172,201812,MRTG,0.8339827616,Stage 2,1171525,36747,0.371,0.08
1598,173,16,MB173,201812,MRTG,0.1530974014,Stage 1,685989,337,0.014,0.04
1599,174,16,MB174,201812,MRTG,0.07317912731,Stage 1,1062512,2202,0.123,0.02
1600,175,16,MB175,201812,MRTG,0.0001945105786,Stage 1,542042,19392,0.181,0.20
1601,81,17,MB81,201901,MRTG,0.6565912409,Stage 1,1196046,69705,0.137,0.42
1602,82,17,MB82,201901,MRTG,0.8912888877,Stage 2,584783,19553,0.072,0.46
1603,83,17,MB83,201901,MRTG,0.2550175036,Stage 1,1226887,57,0.134,0.00
1604,84,17,MB84,201901,MRTG,0.3856589595,Stage 1,1127746,65173,0.133,0.44
1605,85,17,MB85,201901,MRTG,0.3606876562,Stage 1,1092266,9025,0.075,0.11
1606,86,17,MB86,201901,MRTG,0.6758893161,Stage 1,560052,26105,0.103,0.45
1607,87,17,MB87,201901,MRTG,0.1508768247,Stage 1,900401,1231,0.011,0.13
1608,88,17,MB88,201901,MRTG,0.5784465466,Stage 1,846861,6828,0.029,0.28
1609,89,17,MB89,201901,MRTG,0.5659076633,Stage 1,599956,853,0.021,0.07
1610,90,17,MB90,201901,MRTG,0.7120991195,Stage 1,1322510,3354,0.139,0.02
1611,91,17,MB91,201901,MRTG,0.5853034887,Stage 1,1497939,36000,0.078,0.31
1612,92,17,MB92,201901,MRTG,0.09252170028,Stage 1,1187653,5300,0.031,0.14
1613,93,17,MB93,201901,MRTG,0.7292247351,Stage 1,1278527,28732,0.064,0.35
1614,94,17,MB94,201901,MRTG,0.950590821,Stage 3,1052773,77226,1.000,0.07
1615,95,17,MB95,201901,MRTG,0.2908097789,Stage 1,1462460,79189,0.149,0.36
1616,96,17,MB96,201901,MRTG,0.7548558872,Stage 1,1189769,4591,0.065,0.06
1617,97,17,MB97,201901,MRTG,0.789939171,Stage 1,1205751,4341,0.054,0.07
1618,98,17,MB98,201901,MRTG,0.1708100598,Stage 1,1182128,28212,0.079,0.30
1619,99,17,MB99,201901,MRTG,0.5921622956,Stage 1,1202895,5218,0.019,0.23
1620,100,17,MB100,201901,MRTG,0.5218643286,Stage 1,614528,11290,0.157,0.12
1621,101,17,MB101,201901,MRTG,0.6606077695,Stage 1,984360,7294,0.053,0.14
1622,102,17,MB102,201901,MRTG,0.4959484101,Stage 1,666949,23824,0.166,0.22
1623,103,17,MB103,201901,MRTG,0.4968071299,Stage 1,597741,2160,0.020,0.18
1624,104,17,MB104,201901,MRTG,0.6496489059,Stage 1,719833,42502,0.179,0.33
1625,105,17,MB105,201901,MRTG,0.6122843376,Stage 1,1068516,55237,0.112,0.46
1626,106,17,MB106,201901,MRTG,0.2466014665,Stage 1,719189,1073,0.004,0.36
1627,107,17,MB107,201901,MRTG,0.38091504,Stage 1,947943,35100,0.080,0.47
1628,108,17,MB108,201901,MRTG,0.1919552896,Stage 1,1368249,21170,0.034,0.45
1629,109,17,MB109,201901,MRTG,0.01748078798,Stage 1,985623,94906,0.200,0.48
1630,110,17,MB110,201901,MRTG,0.119226308,Stage 1,620423,4651,0.047,0.16
1631,111,17,MB111,201901,MRTG,0.2661943927,Stage 1,591725,31709,0.145,0.37
1632,112,17,MB112,201901,MRTG,0.8944779182,Stage 2,1252460,45520,0.298,0.12
1633,113,17,MB113,201901,MRTG,0.3605468071,Stage 1,1373676,12226,0.035,0.25
1634,114,17,MB114,201901,MRTG,0.03586466837,Stage 1,943209,5931,0.022,0.28
1635,115,17,MB115,201901,MRTG,0.01953402301,Stage 1,1004417,10787,0.064,0.17
1636,116,17,MB116,201901,MRTG,0.4301236099,Stage 1,609240,7491,0.027,0.45
1637,117,17,MB117,201901,MRTG,0.9027061766,Stage 2,880317,64682,0.445,0.17
1638,118,17,MB118,201901,MRTG,0.6531992946,Stage 1,1231048,6932,0.013,0.43
1639,119,17,MB119,201901,MRTG,0.675701265,Stage 1,1097890,394,0.002,0.18
1640,120,17,MB120,201901,MRTG,0.5770709479,Stage 1,911203,39683,0.109,0.40
1641,121,17,MB121,201901,MRTG,0.8977760117,Stage 2,877010,23258,0.068,0.39
1642,122,17,MB122,201901,MRTG,0.4418626834,Stage 1,947054,13187,0.033,0.42
1643,123,17,MB123,201901,MRTG,0.4827354787,Stage 1,607094,23393,0.127,0.30
1644,124,17,MB124,201901,MRTG,0.3799391161,Stage 1,675051,34633,0.191,0.27
1645,125,17,MB125,201901,MRTG,0.7946347107,Stage 1,630189,14759,0.048,0.49
1646,126,17,MB126,201901,MRTG,0.4510190679,Stage 1,1291454,75343,0.129,0.45
1647,127,17,MB127,201901,MRTG,0.200340838,Stage 1,905280,7685,0.067,0.13
1648,128,17,MB128,201901,MRTG,0.5541064902,Stage 1,705685,29635,0.182,0.23
1649,129,17,MB129,201901,MRTG,0.43379329,Stage 1,1041010,8493,0.024,0.34
1650,130,17,MB130,201901,MRTG,0.3585918706,Stage 1,1309325,4376,0.009,0.39
1651,131,17,MB131,201901,MRTG,0.6434965427,Stage 1,1324828,4886,0.189,0.02
1652,132,17,MB132,201901,MRTG,0.394195878,Stage 1,807458,34737,0.115,0.37
1653,133,17,MB133,201901,MRTG,0.8479640689,Stage 2,1316262,5786,0.080,0.05
1654,134,17,MB134,201901,MRTG,0.1741104588,Stage 1,562540,36,0.001,0.12
1655,135,17,MB135,201901,MRTG,0.4566661761,Stage 1,1077239,19098,0.149,0.12
1656,136,17,MB136,201901,MRTG,0.2299696946,Stage 1,1237008,55965,0.099,0.46
1657,137,17,MB137,201901,MRTG,0.9103093045,Stage 2,965251,35487,0.165,0.22
1658,138,17,MB138,201901,MRTG,0.009001736369,Stage 1,523666,10950,0.061,0.34
1659,139,17,MB139,201901,MRTG,0.6284029644,Stage 1,1163659,28170,0.087,0.28
1660,140,17,MB140,201901,MRTG,0.0363551308,Stage 1,946539,61657,0.139,0.47
1661,141,17,MB141,201901,MRTG,0.7390919642,Stage 1,1330952,20301,0.163,0.09
1662,142,17,MB142,201901,MRTG,0.6582535791,Stage 1,764579,11434,0.038,0.39
1663,143,17,MB143,201901,MRTG,0.3118105019,Stage 1,1246441,24743,0.068,0.29
1664,144,17,MB144,201901,MRTG,0.1490459792,Stage 1,972073,2599,0.062,0.04
1665,145,17,MB145,201901,MRTG,0.4637394127,Stage 1,1458416,1692,0.019,0.06
1666,146,17,MB146,201901,MRTG,0.3477285379,Stage 1,958901,8261,0.030,0.28
1667,147,17,MB147,201901,MRTG,0.1032335889,Stage 1,1312567,20667,0.128,0.12
1668,148,17,MB148,201901,MRTG,0.1631038593,Stage 1,1158099,14217,0.173,0.07
1669,149,17,MB149,201901,MRTG,0.6848701939,Stage 1,1479431,22052,0.109,0.14
1670,150,17,MB150,201901,MRTG,0.893008239,Stage 2,694843,21557,0.295,0.11
1671,151,17,MB151,201901,MRTG,0.04971746427,Stage 1,1101398,43648,0.084,0.47
1672,152,17,MB152,201901,MRTG,0.9992088329,Stage 3,778228,288502,1.000,0.37
1673,153,17,MB153,201901,MRTG,0.7196229441,Stage 1,849650,5781,0.014,0.49
1674,154,17,MB154,201901,MRTG,0.6884996554,Stage 1,1103881,11629,0.055,0.19
1675,155,17,MB155,201901,MRTG,0.3051877505,Stage 1,692017,8800,0.107,0.12
1676,156,17,MB156,201901,MRTG,0.8106854695,Stage 2,510873,13511,0.200,0.13
1677,157,17,MB157,201901,MRTG,0.5136656789,Stage 1,712871,16638,0.120,0.19
1678,158,17,MB158,201901,MRTG,0.3996370787,Stage 1,1350673,405,0.032,0.01
1679,159,17,MB159,201901,MRTG,0.5359675575,Stage 1,1349590,13091,0.025,0.39
1680,160,17,MB160,201901,MRTG,0.8741572585,Stage 2,659620,112593,0.442,0.39
1681,161,17,MB161,201901,MRTG,0.922552686,Stage 2,1386883,68989,0.287,0.17
1682,162,17,MB162,201901,MRTG,0.9663643234,Stage 3,1100987,438790,1.000,0.40
1683,163,17,MB163,201901,MRTG,0.8881622812,Stage 2,715460,19994,0.279,0.10
1684,164,17,MB164,201901,MRTG,0.85765853,Stage 2,1469896,16303,0.107,0.10
1685,165,17,MB165,201901,MRTG,0.9176350983,Stage 2,1466266,19038,0.029,0.44
1686,166,17,MB166,201901,MRTG,0.5426833118,Stage 1,1186873,99064,0.198,0.42
1687,167,17,MB167,201901,MRTG,0.5726068474,Stage 1,692365,32401,0.168,0.28
1688,168,17,MB168,201901,MRTG,0.8922599803,Stage 2,886682,26887,0.215,0.14
1689,169,17,MB169,201901,MRTG,0.1555210006,Stage 1,1319782,4104,0.091,0.03
1690,170,17,MB170,201901,MRTG,0.2949075815,Stage 1,822160,38224,0.148,0.31
1691,171,17,MB171,201901,MRTG,0.8974837194,Stage 2,923934,191878,0.422,0.49
1692,172,17,MB172,201901,MRTG,0.6867401647,Stage 1,1122453,14892,0.122,0.11
1693,173,17,MB173,201901,MRTG,0.2651188985,Stage 1,823431,63459,0.172,0.45
1694,174,17,MB174,201901,MRTG,0.5603595331,Stage 1,886364,7350,0.053,0.16
1695,175,17,MB175,201901,MRTG,0.884384615,Stage 2,596794,60245,0.414,0.24
1696,176,17,MB176,201901,MRTG,0.519562008,Stage 1,960160,18178,0.049,0.39
1697,177,17,MB177,201901,MRTG,0.1525885846,Stage 1,1014999,27190,0.102,0.26
1698,178,17,MB178,201901,MRTG,0.7286030567,Stage 1,991391,25821,0.190,0.14
1699,179,17,MB179,201901,MRTG,0.4405026364,Stage 1,1403940,11689,0.079,0.11
1700,180,17,MB180,201901,MRTG,0.3183900113,Stage 1,803027,26752,0.082,0.41
1701,86,18,MB86,201902,MRTG,0.6020614264,Stage 1,981904,8462,0.086,0.10
1702,87,18,MB87,201902,MRTG,0.3489038229,Stage 1,1272977,34421,0.055,0.49
1703,88,18,MB88,201902,MRTG,0.427805712,Stage 1,899599,7623,0.022,0.38
1704,89,18,MB89,201902,MRTG,0.1946101228,Stage 1,1101066,33672,0.062,0.49
1705,90,18,MB90,201902,MRTG,0.4587822731,Stage 1,701354,40600,0.120,0.48
1706,91,18,MB91,201902,MRTG,0.3904614302,Stage 1,1107550,36722,0.081,0.41
1707,92,18,MB92,201902,MRTG,0.8694559418,Stage 2,1148730,269037,0.566,0.41
1708,93,18,MB93,201902,MRTG,0.7387912473,Stage 1,933625,26329,0.057,0.50
1709,94,18,MB94,201902,MRTG,0.721363031,Stage 1,740334,4195,0.088,0.06
1710,95,18,MB95,201902,MRTG,0.2860594883,Stage 1,1245304,9115,0.181,0.04
1711,96,18,MB96,201902,MRTG,0.9644043318,Stage 3,528338,67349,1.000,0.13
1712,97,18,MB97,201902,MRTG,0.1027534379,Stage 1,1207990,8490,0.061,0.12
1713,98,18,MB98,201902,MRTG,0.9411281433,Stage 2,692624,133188,0.554,0.35
1714,99,18,MB99,201902,MRTG,0.3751304172,Stage 1,1171488,79891,0.196,0.35
1715,100,18,MB100,201902,MRTG,0.5430033929,Stage 1,773177,69550,0.195,0.46
1716,101,18,MB101,201902,MRTG,0.3948847972,Stage 1,1145912,34280,0.086,0.35
1717,102,18,MB102,201902,MRTG,0.4290705486,Stage 1,981079,20577,0.140,0.15
1718,103,18,MB103,201902,MRTG,0.6288344147,Stage 1,860523,8082,0.187,0.05
1719,104,18,MB104,201902,MRTG,0.0896450297,Stage 1,875001,22534,0.164,0.16
1720,105,18,MB105,201902,MRTG,0.1975753503,Stage 1,1473158,11351,0.059,0.13
1721,106,18,MB106,201902,MRTG,0.9047259856,Stage 2,1185585,13411,0.134,0.08
1722,107,18,MB107,201902,MRTG,0.08760262763,Stage 1,1471302,101248,0.142,0.49
1723,108,18,MB108,201902,MRTG,0.4828448033,Stage 1,1242374,4519,0.021,0.17
1724,109,18,MB109,201902,MRTG,0.07911300691,Stage 1,1001550,66504,0.194,0.34
1725,110,18,MB110,201902,MRTG,0.3863125746,Stage 1,1370610,6655,0.027,0.18
1726,111,18,MB111,201902,MRTG,0.2706965821,Stage 1,947080,7360,0.038,0.21
1727,112,18,MB112,201902,MRTG,0.1588575697,Stage 1,607154,1046,0.023,0.07
1728,113,18,MB113,201902,MRTG,0.8171130163,Stage 2,1098649,1083,0.196,0.01
1729,114,18,MB114,201902,MRTG,0.3177717624,Stage 1,980967,14372,0.153,0.10
1730,115,18,MB115,201902,MRTG,0.9276877414,Stage 2,929669,31209,0.095,0.35
1731,116,18,MB116,201902,MRTG,0.4918240623,Stage 1,524121,4781,0.021,0.42
1732,117,18,MB117,201902,MRTG,0.6765290861,Stage 1,877147,14514,0.126,0.13
1733,118,18,MB118,201902,MRTG,0.1558854231,Stage 1,750426,241,0.048,0.01
1734,119,18,MB119,201902,MRTG,0.8933618015,Stage 2,875151,9480,0.043,0.25
1735,120,18,MB120,201902,MRTG,0.801611586,Stage 2,951808,169505,0.441,0.40
1736,121,18,MB121,201902,MRTG,0.4925207935,Stage 1,804180,34996,0.115,0.38
1737,122,18,MB122,201902,MRTG,0.8994337266,Stage 2,724981,47040,0.189,0.34
1738,123,18,MB123,201902,MRTG,0.4804049694,Stage 1,767163,125,0.160,0.00
1739,124,18,MB124,201902,MRTG,0.5499261111,Stage 1,1325465,88378,0.138,0.48
1740,125,18,MB125,201902,MRTG,0.4969284923,Stage 1,830224,49611,0.199,0.30
1741,126,18,MB126,201902,MRTG,0.3323962442,Stage 1,941113,37520,0.082,0.49
1742,127,18,MB127,201902,MRTG,0.7983299968,Stage 1,1363792,9613,0.027,0.26
1743,128,18,MB128,201902,MRTG,0.9659375564,Stage 3,737164,325152,1.000,0.44
1744,129,18,MB129,201902,MRTG,0.7968336097,Stage 1,1067857,42530,0.145,0.27
1745,130,18,MB130,201902,MRTG,0.07448920105,Stage 1,519070,18252,0.090,0.39
1746,131,18,MB131,201902,MRTG,0.6224521973,Stage 1,1485457,33614,0.083,0.27
1747,132,18,MB132,201902,MRTG,0.5545733527,Stage 1,1323434,54120,0.130,0.31
1748,133,18,MB133,201902,MRTG,0.1646585049,Stage 1,512610,1482,0.011,0.26
1749,134,18,MB134,201902,MRTG,0.8848696843,Stage 2,932195,155478,0.498,0.34
1750,135,18,MB135,201902,MRTG,0.9533263465,Stage 3,1453665,128791,1.000,0.09
1751,136,18,MB136,201902,MRTG,0.6838002018,Stage 1,727380,14598,0.120,0.17
1752,137,18,MB137,201902,MRTG,0.3314868891,Stage 1,1291309,94212,0.159,0.46
1753,138,18,MB138,201902,MRTG,0.0486275193,Stage 1,995534,13067,0.145,0.09
1754,139,18,MB139,201902,MRTG,0.2049080446,Stage 1,1424313,125691,0.197,0.45
1755,140,18,MB140,201902,MRTG,0.7216275591,Stage 1,550132,13317,0.137,0.18
1756,141,18,MB141,201902,MRTG,0.2887623346,Stage 1,1447662,128909,0.182,0.49
1757,142,18,MB142,201902,MRTG,0.09072397098,Stage 1,680453,49862,0.180,0.41
1758,143,18,MB143,201902,MRTG,0.03880332046,Stage 1,1024276,8412,0.085,0.10
1759,144,18,MB144,201902,MRTG,0.9992304591,Stage 3,1035531,65365,1.000,0.06
1760,145,18,MB145,201902,MRTG,0.1982488375,Stage 1,1330603,12975,0.074,0.13
1761,146,18,MB146,201902,MRTG,0.5083259425,Stage 1,1206705,41839,0.070,0.49
1762,147,18,MB147,201902,MRTG,0.2223231233,Stage 1,1396276,23137,0.042,0.40
1763,148,18,MB148,201902,MRTG,0.2135036264,Stage 1,842347,5445,0.023,0.28
1764,149,18,MB149,201902,MRTG,0.3861139505,Stage 1,1237722,83441,0.193,0.35
1765,150,18,MB150,201902,MRTG,0.6900230388,Stage 1,989366,9625,0.117,0.08
1766,151,18,MB151,201902,MRTG,0.5296600977,Stage 1,1484596,21733,0.032,0.45
1767,152,18,MB152,201902,MRTG,0.7505225356,Stage 1,649904,17140,0.096,0.27
1768,153,18,MB153,201902,MRTG,0.5542218317,Stage 1,1084348,19806,0.101,0.18
1769,154,18,MB154,201902,MRTG,0.6992044029,Stage 1,925307,41354,0.157,0.28
1770,155,18,MB155,201902,MRTG,0.6283566632,Stage 1,1152963,8518,0.090,0.08
1771,156,18,MB156,201902,MRTG,0.8108014118,Stage 2,515833,25140,0.437,0.11
1772,157,18,MB157,201902,MRTG,0.7801997813,Stage 1,518225,23167,0.149,0.30
1773,158,18,MB158,201902,MRTG,0.1389106149,Stage 1,1192306,2939,0.048,0.05
1774,159,18,MB159,201902,MRTG,0.09733554189,Stage 1,515998,13802,0.081,0.33
1775,160,18,MB160,201902,MRTG,0.1479020966,Stage 1,1358806,41855,0.146,0.21
1776,161,18,MB161,201902,MRTG,0.09756866001,Stage 1,1080400,68725,0.130,0.49
1777,162,18,MB162,201902,MRTG,0.8867657027,Stage 2,1203668,10289,0.292,0.03
1778,163,18,MB163,201902,MRTG,0.2081147335,Stage 1,686874,7743,0.031,0.36
1779,164,18,MB164,201902,MRTG,0.6938618181,Stage 1,674413,56954,0.181,0.47
1780,165,18,MB165,201902,MRTG,0.448203796,Stage 1,724850,515,0.105,0.01
1781,166,18,MB166,201902,MRTG,0.09113285771,Stage 1,612178,4146,0.016,0.42
1782,167,18,MB167,201902,MRTG,0.8674308704,Stage 2,996415,2872,0.067,0.04
1783,168,18,MB168,201902,MRTG,0.3380718927,Stage 1,609002,20939,0.120,0.29
1784,169,18,MB169,201902,MRTG,0.5816202785,Stage 1,1252559,53412,0.175,0.24
1785,170,18,MB170,201902,MRTG,0.4534269814,Stage 1,1289441,28177,0.079,0.28
1786,171,18,MB171,201902,MRTG,0.1673465804,Stage 1,622609,3100,0.050,0.10
1787,172,18,MB172,201902,MRTG,0.6506535459,Stage 1,814069,11174,0.143,0.10
1788,173,18,MB173,201902,MRTG,0.03905194805,Stage 1,990122,1814,0.004,0.42
1789,174,18,MB174,201902,MRTG,0.4865555355,Stage 1,1020141,2772,0.013,0.21
1790,175,18,MB175,201902,MRTG,0.3180184543,Stage 1,1484595,22216,0.062,0.24
1791,176,18,MB176,201902,MRTG,0.3970410644,Stage 1,1082993,15600,0.121,0.12
1792,177,18,MB177,201902,MRTG,0.7050211649,Stage 1,1348688,9797,0.016,0.45
1793,178,18,MB178,201902,MRTG,0.1357492071,Stage 1,1245484,5470,0.043,0.10
1794,179,18,MB179,201902,MRTG,0.3486548543,Stage 1,1201410,29174,0.066,0.37
1795,180,18,MB180,201902,MRTG,0.2773965213,Stage 1,632168,11365,0.078,0.23
1796,181,18,MB181,201902,MRTG,0.5350723021,Stage 1,735887,2906,0.078,0.05
1797,182,18,MB182,201902,MRTG,0.8755820623,Stage 2,566057,88074,0.447,0.35
1798,183,18,MB183,201902,MRTG,0.8537928178,Stage 2,893406,67549,0.191,0.40
1799,184,18,MB184,201902,MRTG,0.4426444078,Stage 1,1030239,10137,0.061,0.16
1800,185,18,MB185,201902,MRTG,0.9755683604,Stage 3,661636,304697,1.000,0.46
1801,91,19,MB91,201903,MRTG,0.1557704084,Stage 1,871562,33343,0.123,0.31
1802,92,19,MB92,201903,MRTG,0.2348765526,Stage 1,612939,40301,0.141,0.47
1803,93,19,MB93,201903,MRTG,0.9883285621,Stage 3,1201989,81294,1.000,0.07
1804,94,19,MB94,201903,MRTG,0.2799273411,Stage 1,778047,30259,0.128,0.30
1805,95,19,MB95,201903,MRTG,0.8583786976,Stage 2,903361,48381,0.514,0.10
1806,96,19,MB96,201903,MRTG,0.3412202228,Stage 1,1231064,95790,0.168,0.46
1807,97,19,MB97,201903,MRTG,0.8081578632,Stage 2,637515,120304,0.577,0.33
1808,98,19,MB98,201903,MRTG,0.3954007971,Stage 1,1024394,34956,0.108,0.32
1809,99,19,MB99,201903,MRTG,0.2503493488,Stage 1,775520,35553,0.199,0.23
1810,100,19,MB100,201903,MRTG,0.1497902205,Stage 1,678182,17768,0.116,0.23
1811,101,19,MB101,201903,MRTG,0.9010212378,Stage 2,922696,18729,0.059,0.34
1812,102,19,MB102,201903,MRTG,0.3454742146,Stage 1,1009972,46205,0.151,0.30
1813,103,19,MB103,201903,MRTG,0.7678131612,Stage 1,1480957,51001,0.184,0.19
1814,104,19,MB104,201903,MRTG,0.1398430039,Stage 1,539189,10009,0.071,0.26
1815,105,19,MB105,201903,MRTG,0.4684163968,Stage 1,973547,47221,0.145,0.34
1816,106,19,MB106,201903,MRTG,0.06519487207,Stage 1,1260859,13501,0.102,0.11
1817,107,19,MB107,201903,MRTG,0.8524255633,Stage 2,691593,91689,0.280,0.47
1818,108,19,MB108,201903,MRTG,0.3163065554,Stage 1,1137402,30170,0.133,0.20
1819,109,19,MB109,201903,MRTG,0.913651315,Stage 2,904920,44326,0.179,0.27
1820,110,19,MB110,201903,MRTG,0.460209717,Stage 1,980991,10330,0.030,0.35
1821,111,19,MB111,201903,MRTG,0.9750128277,Stage 3,1224842,284948,1.000,0.23
1822,112,19,MB112,201903,MRTG,0.4148950619,Stage 1,1406630,17242,0.107,0.11
1823,113,19,MB113,201903,MRTG,0.1598405599,Stage 1,1293083,8171,0.077,0.08
1824,114,19,MB114,201903,MRTG,0.0550225927,Stage 1,533654,27354,0.156,0.33
1825,115,19,MB115,201903,MRTG,0.9281023168,Stage 2,1393499,242542,0.442,0.39
1826,116,19,MB116,201903,MRTG,0.6822977131,Stage 1,1047030,39340,0.098,0.38
1827,117,19,MB117,201903,MRTG,0.540634034,Stage 1,702107,15759,0.098,0.23
1828,118,19,MB118,201903,MRTG,0.971955777,Stage 3,936374,199664,1.000,0.21
1829,119,19,MB119,201903,MRTG,0.4464487442,Stage 1,1082094,19002,0.067,0.26
1830,120,19,MB120,201903,MRTG,0.7663844048,Stage 1,687906,6126,0.086,0.10
1831,121,19,MB121,201903,MRTG,0.885778068,Stage 2,735550,5326,0.575,0.01
1832,122,19,MB122,201903,MRTG,0.1395287075,Stage 1,1280376,27806,0.133,0.16
1833,123,19,MB123,201903,MRTG,0.2234584101,Stage 1,799975,46766,0.153,0.38
1834,124,19,MB124,201903,MRTG,0.6742223334,Stage 1,1039425,58521,0.198,0.28
1835,125,19,MB125,201903,MRTG,0.3230244968,Stage 1,547788,19852,0.186,0.19
1836,126,19,MB126,201903,MRTG,0.5674420784,Stage 1,1135199,9791,0.159,0.05
1837,127,19,MB127,201903,MRTG,0.4314519419,Stage 1,1149873,16738,0.035,0.42
1838,128,19,MB128,201903,MRTG,0.4597994801,Stage 1,1305247,54243,0.192,0.22
1839,129,19,MB129,201903,MRTG,0.7485664226,Stage 1,703475,7262,0.165,0.06
1840,130,19,MB130,201903,MRTG,0.2450827965,Stage 1,679686,42721,0.129,0.49
1841,131,19,MB131,201903,MRTG,0.924995314,Stage 2,1120423,261095,0.561,0.42
1842,132,19,MB132,201903,MRTG,0.2887020677,Stage 1,1449379,4285,0.009,0.32
1843,133,19,MB133,201903,MRTG,0.8800933296,Stage 2,508918,20337,0.319,0.13
1844,134,19,MB134,201903,MRTG,0.7214417781,Stage 1,512528,6547,0.191,0.07
1845,135,19,MB135,201903,MRTG,0.4090679494,Stage 1,1362109,121759,0.194,0.46
1846,136,19,MB136,201903,MRTG,0.7935950616,Stage 1,1263057,3530,0.006,0.47
1847,137,19,MB137,201903,MRTG,0.299723254,Stage 1,1455794,33767,0.061,0.38
1848,138,19,MB138,201903,MRTG,0.7065626991,Stage 1,838665,2366,0.013,0.22
1849,139,19,MB139,201903,MRTG,0.9876257556,Stage 3,1138295,379607,1.000,0.33
1850,140,19,MB140,201903,MRTG,0.1822060531,Stage 1,561297,4966,0.167,0.05
1851,141,19,MB141,201903,MRTG,0.918482804,Stage 2,1215457,38817,0.066,0.49
1852,142,19,MB142,201903,MRTG,0.09811688845,Stage 1,1002284,53765,0.174,0.31
1853,143,19,MB143,201903,MRTG,0.6731560448,Stage 1,956516,58065,0.132,0.46
1854,144,19,MB144,201903,MRTG,0.3886144552,Stage 1,1253773,4705,0.059,0.06
1855,145,19,MB145,201903,MRTG,0.8496700277,Stage 2,701226,59312,0.532,0.16
1856,146,19,MB146,201903,MRTG,0.6814257222,Stage 1,1142816,20292,0.188,0.09
1857,147,19,MB147,201903,MRTG,0.6341102016,Stage 1,979906,62742,0.145,0.44
1858,148,19,MB148,201903,MRTG,0.6689996737,Stage 1,1480951,66091,0.093,0.48
1859,149,19,MB149,201903,MRTG,0.7653500042,Stage 1,1076334,28532,0.074,0.36
1860,150,19,MB150,201903,MRTG,0.3772290463,Stage 1,1087235,3855,0.198,0.02
1861,151,19,MB151,201903,MRTG,0.1846394021,Stage 1,1194612,89470,0.154,0.49
1862,152,19,MB152,201903,MRTG,0.4346035867,Stage 1,1483995,118693,0.189,0.42
1863,153,19,MB153,201903,MRTG,0.4283958295,Stage 1,1226881,1431,0.050,0.02
1864,154,19,MB154,201903,MRTG,0.3187234635,Stage 1,1460140,58673,0.172,0.23
1865,155,19,MB155,201903,MRTG,0.7798471318,Stage 1,966311,17897,0.101,0.18
1866,156,19,MB156,201903,MRTG,0.7875134362,Stage 1,1385702,44235,0.150,0.21
1867,157,19,MB157,201903,MRTG,0.2419028744,Stage 1,1141960,14453,0.084,0.15
1868,158,19,MB158,201903,MRTG,0.2278726738,Stage 1,1392506,45707,0.140,0.23
1869,159,19,MB159,201903,MRTG,0.5698121833,Stage 1,1057363,1279,0.122,0.01
1870,160,19,MB160,201903,MRTG,0.1789740867,Stage 1,599786,13935,0.066,0.35
1871,161,19,MB161,201903,MRTG,0.3384674759,Stage 1,847212,1816,0.029,0.07
1872,162,19,MB162,201903,MRTG,0.5307168772,Stage 1,1140672,28254,0.078,0.32
1873,163,19,MB163,201903,MRTG,0.3869237176,Stage 1,1395905,4829,0.013,0.27
1874,164,19,MB164,201903,MRTG,0.8452888286,Stage 2,1157123,119421,0.230,0.45
1875,165,19,MB165,201903,MRTG,0.9437356961,Stage 2,1023443,752,0.328,0.00
1876,166,19,MB166,201903,MRTG,0.4023860378,Stage 1,1389007,33110,0.117,0.20
1877,167,19,MB167,201903,MRTG,0.3936103199,Stage 1,889153,23748,0.057,0.47
1878,168,19,MB168,201903,MRTG,0.1929707625,Stage 1,840082,45211,0.125,0.43
1879,169,19,MB169,201903,MRTG,0.4917918232,Stage 1,1208524,10332,0.032,0.27
1880,170,19,MB170,201903,MRTG,0.4647476654,Stage 1,1002912,31414,0.065,0.48
1881,171,19,MB171,201903,MRTG,0.001332972343,Stage 1,1355403,48731,0.193,0.19
1882,172,19,MB172,201903,MRTG,0.1026568915,Stage 1,649903,14756,0.074,0.31
1883,173,19,MB173,201903,MRTG,0.2443700011,Stage 1,528653,584,0.005,0.23
1884,174,19,MB174,201903,MRTG,0.1730968619,Stage 1,523194,2211,0.026,0.16
